match,date,venue,max_possible_pts,model_points,model_overlap,model_capture_pct,career_capture_pct,form_capture_pct,random_capture_pct
Chennai Super Kings vs Delhi Capitals,2023-05-20,"Arun Jaitley Stadium, Delhi",829.5,792.0,8,95.48,75.35,82.58,30.74
Chennai Super Kings vs Delhi Capitals,2023-05-10,"MA Chidambaram Stadium, Chepauk, Chennai",617.5,549.0,8,88.91,72.79,87.85,73.44
Chennai Super Kings vs Gujarat Titans,2023-05-23,"MA Chidambaram Stadium, Chepauk, Chennai",685.5,573.5,9,83.66,81.84,85.49,52.81
Chennai Super Kings vs Gujarat Titans,2024-03-26,"MA Chidambaram Stadium, Chepauk, Chennai",639.0,502.0,8,78.56,62.91,83.88,48.67
Chennai Super Kings vs Gujarat Titans,2023-03-31,"Narendra Modi Stadium, Ahmedabad",746.5,646.5,9,86.6,70.26,86.27,63.03
Chennai Super Kings vs Kolkata Knight Riders,2023-04-23,"Eden Gardens, Kolkata",807.0,751.5,9,93.12,56.51,84.26,35.19
Chennai Super Kings vs Kolkata Knight Riders,2023-05-14,"MA Chidambaram Stadium, Chepauk, Chennai",630.5,512.5,8,81.28,50.36,76.21,34.66
Chennai Super Kings vs Kolkata Knight Riders,2025-04-11,"MA Chidambaram Stadium, Chepauk, Chennai",572.0,437.0,7,76.4,66.96,66.61,18.62
Chennai Super Kings vs Lucknow Super Giants,2024-04-19,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",683.0,567.5,8,83.09,67.86,69.47,48.9
Chennai Super Kings vs Lucknow Super Giants,2023-04-03,"MA Chidambaram Stadium, Chepauk, Chennai",819.0,738.5,8,90.17,72.28,73.69,14.9
Chennai Super Kings vs Lucknow Super Giants,2024-04-23,"MA Chidambaram Stadium, Chepauk, Chennai",892.0,839.5,8,94.11,40.86,86.55,78.08
Chennai Super Kings vs Mumbai Indians,2024-04-14,"Wankhede Stadium, Mumbai",864.0,724.0,7,83.8,48.38,80.84,47.16
Chennai Super Kings vs Punjab Kings,2024-05-05,"Himachal Pradesh Cricket Association Stadium, Dharamsala",702.5,606.5,8,86.33,57.15,78.79,31.25
Chennai Super Kings vs Punjab Kings,2023-04-30,"MA Chidambaram Stadium, Chepauk, Chennai",704.5,700.5,10,99.43,71.11,90.92,64.87
Chennai Super Kings vs Punjab Kings,2024-05-01,"MA Chidambaram Stadium, Chepauk, Chennai",596.5,452.0,7,75.78,57.84,61.36,45.52
Chennai Super Kings vs Royal Challengers Bangalore,2023-04-17,"M Chinnaswamy Stadium, Bengaluru",834.5,725.5,7,86.94,67.53,76.51,42.6
Chennai Super Kings vs Sunrisers Hyderabad,2024-04-28,"MA Chidambaram Stadium, Chepauk, Chennai",775.0,697.0,7,89.94,73.03,83.23,30.58
Chennai Super Kings vs Sunrisers Hyderabad,2024-04-05,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",534.5,483.5,9,90.46,52.01,71.75,53.13
Delhi Capitals vs Chennai Super Kings,2024-03-31,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",714.5,627.5,8,87.82,70.33,66.97,41.29
Delhi Capitals vs Chennai Super Kings,2025-04-05,"MA Chidambaram Stadium, Chepauk, Chennai",667.0,426.5,7,63.94,64.32,64.77,38.98
Delhi Capitals vs Gujarat Titans,2023-04-04,"Arun Jaitley Stadium, Delhi",664.5,632.0,9,95.11,73.14,82.39,48.76
Delhi Capitals vs Gujarat Titans,2024-04-24,"Arun Jaitley Stadium, Delhi",896.5,798.0,10,89.01,44.73,58.11,37.65
Delhi Capitals vs Gujarat Titans,2023-05-02,"Narendra Modi Stadium, Ahmedabad",707.0,539.0,7,76.24,47.81,71.99,35.79
